#TimeStamp(inmicroSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
4383;0;0.001973;0.192692;0.426032;0.079641;0.004474;0.001827;0.024029;0.194764;0.000000;98.228569;0.002693;0.040680;0.000520;0.074845;0.015970;0.000000;0.000063;0.020789;0.411760;0.018895;0.009091;0.027824;0.041918;0.005821;0.001347;0.011637;0.000814;0.000000;0.000431;0.000001;-3.031860;-0.965722;-1.922453;0
4415;0;0.001970;0.192689;0.426055;0.079859;0.004461;0.001825;0.024019;0.195308;0.000000;98.511490;0.001839;0.073375;0.000614;0.080470;0.013526;0.000000;0.000258;0.025544;0.460714;0.016551;0.013644;0.024147;0.032658;0.004443;0.001053;0.012755;0.001008;0.000000;0.000443;0.000002;-1.806534;-0.583619;-1.038006;0
4446;0;0.001970;0.192688;0.426034;0.079782;0.004444;0.001825;0.024025;0.195684;0.000000;98.726601;0.001691;0.066949;0.000463;0.073393;0.011246;0.000000;0.000397;0.021983;0.577676;0.017465;0.022646;0.018363;0.023237;0.003425;0.001589;0.011557;0.001089;0.000000;0.000418;0.000002;-2.658204;-0.467831;-0.246649;0
4477;0;0.001971;0.192687;0.426056;0.079690;0.004459;0.001826;0.024036;0.195243;0.000000;98.275154;0.001564;0.056766;0.000437;0.067543;0.011536;0.000000;0.000230;0.023600;0.489652;0.015458;0.022983;0.017374;0.019898;0.003027;0.001198;0.010472;0.001129;0.000000;0.000385;0.000002;-2.406103;-0.218366;-1.786827;0
4509;0;0.001972;0.192687;0.426058;0.079741;0.004452;0.001826;0.024036;0.195376;0.000000;98.404350;0.001731;0.053213;0.000386;0.079984;0.011748;0.000000;0.000210;0.021444;0.535350;0.014605;0.023031;0.012615;0.018092;0.003379;0.001292;0.010553;0.001335;0.000000;0.000372;0.000002;-0.905596;-0.366454;-1.390965;0
4540;0;0.001974;0.192689;0.426039;0.079800;0.004460;0.001826;0.024038;0.195151;0.000000;98.259521;0.001619;0.046226;0.000487;0.097389;0.014594;0.000000;0.000164;0.022073;0.494388;0.014366;0.020898;0.018824;0.022575;0.003638;0.001414;0.010246;0.001394;0.000000;0.000452;0.000002;-1.301857;-0.303642;-1.832734;0
4601;0;0.001973;0.192689;0.426022;0.079786;0.004455;0.001826;0.024030;0.195301;0.000000;98.557899;0.001419;0.048133;0.000414;0.092912;0.012843;0.000000;0.000133;0.021696;0.527967;0.012678;0.016166;0.025991;0.024396;0.003485;0.001339;0.010192;0.001152;0.000000;0.000486;0.000002;-0.893314;-0.344533;-0.877288;0
4680;0;0.001974;0.192688;0.426005;0.079831;0.004460;0.001827;0.024026;0.195123;0.000000;98.570976;0.001387;0.045071;0.000393;0.103931;0.012388;0.000000;0.000109;0.020073;0.492668;0.012063;0.015614;0.035726;0.025887;0.003637;0.001463;0.009321;0.000932;0.000000;0.000467;0.000001;-0.887264;-0.079608;-0.831071;0
4759;0;0.001974;0.192687;0.426009;0.079811;0.004470;0.001826;0.024021;0.194881;0.000000;98.356827;0.001325;0.047370;0.000481;0.098152;0.011126;0.000000;0.000123;0.018438;0.426118;0.010632;0.015696;0.038430;0.016595;0.003608;0.001503;0.009298;0.000748;0.000000;0.000414;0.000001;-1.319452;-0.228376;-1.540145;0
4821;0;0.001975;0.192687;0.426006;0.079818;0.004475;0.001827;0.024020;0.194685;0.000000;98.323059;0.001489;0.042889;0.000557;0.103818;0.012152;0.000000;0.000093;0.013635;0.392063;0.009526;0.014852;0.026357;0.018341;0.004844;0.002225;0.009418;0.000772;0.000000;0.000408;0.000001;-1.874638;-0.251222;-1.643573;0
