#TimeStamp(in microSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
5502;0; 0.000210; 0.014980; 0.044013; 9.445767;0.000650;0.485597;0.002412;0.194738;42.760429;98.381897;0.001823;0.190832;30.244097;0.029818;20.670656;0.000000;0.001127;0.006051;0.047029;0.003287;0.000427;0.022822;0.117017;13.668844;0.957544;0.006886;0.006808;34.177322;0.067561;0.000000;-1.616468;1.384251;-1.461987;0
5563;0; 0.000046; 0.002755; 0.010138; 72.395073;0.000187;16.370039;0.000536;0.195258;69.775284;98.244904;0.001769;0.246666;37.436420;0.018811;23.013163;0.000000;0.001048;0.007438;0.039175;0.002797;0.000430;0.019816;0.135609;24.127609;0.792501;0.007168;0.006613;56.749004;0.064292;0.000000;-3.582407;1.112083;-1.875279;0
5627;0; 0.000017; 0.000930; 0.003929; 95.445526;0.000100;67.885651;0.000203;0.195601;88.863586;98.307541;0.001285;0.282256;46.055424;0.018896;19.621204;0.000000;0.001177;0.007226;0.036539;0.002550;0.000376;0.022335;0.133373;38.045094;0.710635;0.007367;0.007363;71.297112;0.110686;0.000000;-2.923440;0.900717;-1.690419;0
5704;0; 0.000006; 0.000284; 0.001368; 99.528496;0.000068;96.751091;0.000069;0.195723;99.763268;98.479584;0.001011;0.298390;58.245670;0.012744;17.438480;0.000000;0.001259;0.006450;0.026378;0.002397;0.000165;0.016682;0.171013;65.904739;0.693407;0.008193;0.008550;87.465858;0.364690;0.000000;-2.881507;0.275468;-1.145697;0
5766;0; 0.000004; 0.000216; 0.001030; 99.746170;0.000070;98.377457;0.000052;0.195973;99.749710;98.363426;0.000874;0.325117;72.647850;0.013388;16.166536;0.000000;0.001400;0.005325;0.023757;0.002552;0.000149;0.018174;0.209730;78.639893;0.733404;0.008609;0.009619;91.816078;0.873732;0.000000;-2.346312;0.467968;-1.519686;0
5846;0; 0.000003; 0.000165; 0.000778; 99.858131;0.000065;99.160927;0.000039;0.196029;99.636070;98.424095;0.000774;0.333455;72.000381;0.013488;14.502051;0.000000;0.001214;0.004792;0.017967;0.002596;0.000140;0.015185;0.236038;86.265839;1.092352;0.008269;0.010931;95.896187;1.207062;0.000000;-3.483470;0.303178;-1.327721;0
5908;0; 0.000003; 0.000138; 0.000677; 99.890663;0.000058;99.375397;0.000034;0.196456;99.501320;98.330727;0.000749;0.376345;74.327538;0.014632;11.937821;0.000000;0.001066;0.005164;0.019658;0.002438;0.000216;0.014864;0.191084;87.041756;1.516995;0.007960;0.009758;97.721931;0.792059;0.000000;-2.436032;0.471960;-1.620262;0
5970;0; 0.000003; 0.000133; 0.000651; 99.901108;0.000062;99.443542;0.000033;0.196101;99.528557;98.355270;0.000826;0.341123;73.328117;0.012822;6.460918;0.000000;0.000855;0.004853;0.017353;0.002230;0.000177;0.014676;0.189554;90.997681;1.433857;0.008230;0.009628;98.425018;0.960866;0.000000;-3.372979;-0.178282;-1.544936;0
6033;0; 0.000003; 0.000128; 0.000626; 99.906891;0.000065;99.480705;0.000032;0.196002;99.435173;98.379494;0.000880;0.331042;70.864357;0.014921;5.750971;0.000000;0.000494;0.005125;0.017169;0.002213;0.000206;0.013726;0.161148;93.917763;1.725616;0.008415;0.009946;98.847702;0.865875;0.000000;-3.947826;0.665691;-1.469542;0
6111;0; 0.000003; 0.000125; 0.000602; 99.909279;0.000064;99.496552;0.000031;0.195596;99.254501;98.237740;0.000811;0.291050;68.271385;0.019406;3.500212;0.000000;0.000465;0.004327;0.014467;0.002375;0.000266;0.012088;0.118457;93.786636;2.289556;0.008048;0.011424;99.030014;0.802326;0.000000;-3.692884;0.216991;-1.896031;0
6174;0; 0.000003; 0.000122; 0.000600; 99.911530;0.000063;99.511719;0.000031;0.194992;99.292870;98.044853;0.001196;0.228638;67.161324;0.021505;2.844933;0.000000;0.000332;0.004038;0.016871;0.002640;0.000309;0.013463;0.096557;93.858826;2.155488;0.008080;0.017223;99.205643;0.690354;0.000000;-2.510926;-0.168973;-2.425206;0
6237;0; 0.000003; 0.000137; 0.000631; 99.902580;0.000064;99.454979;0.000032;0.194986;99.352592;98.523903;0.001379;0.228116;52.451385;0.021635;2.012984;0.000000;0.000301;0.004600;0.017405;0.002708;0.000448;0.016713;0.091126;92.602470;1.960587;0.007545;0.018732;98.530342;1.282312;0.000000;-3.451449;1.349493;-0.995516;0
6299;0; 0.000003; 0.000137; 0.000620; 99.902382;0.000063;99.453850;0.000032;0.194940;99.208351;98.463974;0.001089;0.221103;50.118137;0.027419;1.568353;0.000000;0.000260;0.005042;0.021385;0.002967;0.000640;0.016259;0.100584;91.950752;2.400361;0.007978;0.023631;98.516014;1.287714;0.000000;-4.507938;-0.652201;-1.197546;0
6361;0; 0.000003; 0.000141; 0.000637; 99.900284;0.000063;99.440598;0.000033;0.194844;99.336761;98.342690;0.001592;0.212109;33.659931;0.022620;0.954165;0.000000;0.000220;0.005901;0.020394;0.002846;0.000640;0.013505;0.074824;91.510811;2.002030;0.007497;0.023889;98.367172;1.462191;0.000000;-3.406343;0.381474;-1.583697;0
6424;0; 0.000003; 0.000146; 0.000654; 99.897812;0.000064;99.425140;0.000033;0.194663;99.425018;98.487885;0.001721;0.192942;40.584217;0.021623;0.824916;0.000000;0.000251;0.006013;0.021901;0.003313;0.000857;0.012980;0.072265;91.516579;1.728279;0.007435;0.022009;98.195793;1.643942;0.000000;-3.609092;0.098754;-1.117867;0
