#TimeStamp(in microSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
5440;0; 9.807958; 1.188386; 0.429358; 45.714893;0.116565;0.000003;26.719084;0.000558;-18.958321;98.282532;97.564667;0.004510;0.000630;0.007513;0.008343;0.000090;0.000008;0.123841;0.222512;9.783141;0.004673;0.015360;0.008461;0.004552;0.029762;0.013415;0.012573;0.000000;0.000404;0.000014;-8.978557;-0.350606;1.765008;0
5501;0; 39.270634; 1.240860; 0.434178; 49.888443;0.126663;0.000003;30.699917;0.000488;-19.870338;98.311630;99.897850;0.002563;0.000574;0.005378;0.009342;0.000406;0.000005;0.420688;0.210693;41.796337;0.004468;0.012609;0.007709;0.004551;0.039676;0.012432;0.022347;0.000000;0.000338;0.000013;-9.602934;-0.508704;1.678116;0
5564;0; 83.478584; 1.243127; 0.447158; 50.070583;0.128998;0.000003;32.124390;0.000493;-20.216736;98.135262;99.996826;0.001240;0.000762;0.004150;0.008434;0.002416;0.000003;1.301510;0.202746;83.482025;0.004504;0.014020;0.007091;0.004642;0.042691;0.011794;0.036758;0.000000;0.000261;0.000012;-8.524300;-2.073561;2.183886;0
5643;0; 90.055527; 1.243192; 0.474320; 50.104870;0.135139;0.000003;36.253712;0.000521;-21.187401;97.984596;99.999908;0.000650;0.000795;0.003400;0.008835;0.005694;0.000001;4.056774;0.187213;97.442940;0.004404;0.015467;0.005732;0.004857;0.058818;0.010107;0.064664;0.000000;0.000222;0.000011;-8.617045;-0.917077;2.580042;0
5705;0; 88.185135; 1.243191; 0.551058; 50.113953;0.152220;0.000003;47.826801;0.000601;-23.666016;98.189331;99.999985;0.000362;0.000863;0.002648;0.008485;0.006114;0.000001;11.219139;0.192710;99.544144;0.004762;0.016884;0.005753;0.004811;0.063821;0.010682;0.086061;0.000000;0.000203;0.000010;-8.899609;-0.971079;2.033997;0
5766;0; 83.071510; 1.243187; 0.763530; 50.167179;0.181276;0.000003;64.794250;0.000741;-27.277756;98.264023;100.000000;0.000253;0.000881;0.002047;0.010046;0.002230;0.000000;21.680235;0.173870;99.874290;0.004953;0.013259;0.005933;0.004995;0.093611;0.010384;0.092673;0.000000;0.000168;0.000010;-7.808707;-1.738723;1.819557;0
5844;0; 80.412582; 1.243180; 1.836878; 50.203850;0.194908;0.000003;71.120117;0.000809;-28.803711;97.987000;100.000000;0.000220;0.000894;0.001628;0.009518;0.024124;0.000000;26.052677;0.181185;99.949646;0.004810;0.009530;0.005189;0.005393;0.114148;0.010196;0.120868;0.000000;0.000110;0.000010;-8.651169;-1.368428;2.573969;0
5909;0; 80.905418; 1.243177; 3.974589; 93.899841;0.192565;0.000003;70.109489;0.000797;-28.564857;97.803490;100.000000;0.000181;0.001027;0.001336;0.009383;0.029375;0.000000;25.322401;0.180133;99.973709;0.003979;0.008171;0.005433;0.005467;0.118134;0.008989;0.142344;0.000000;0.000091;0.000011;-9.952894;-1.502279;3.019543;0
5970;0; 82.693008; 1.243176; 6.842126; 99.470093;0.183625;0.000003;65.935333;0.000752;-27.595970;98.056824;100.000000;0.000239;0.001072;0.001253;0.008834;0.022901;0.000000;22.446911;0.171038;99.980721;0.004193;0.007722;0.004605;0.005589;0.143876;0.008608;0.162495;0.000000;0.000085;0.000010;-10.030836;-0.949633;2.393888;0
6032;0; 84.091812; 1.243177; 7.557274; 99.664452;0.176380;0.000003;62.219257;0.000717;-26.774506;97.702881;100.000000;0.000343;0.001142;0.001271;0.009185;0.010543;0.000000;20.023628;0.169036;99.982292;0.004668;0.009681;0.005038;0.005804;0.141701;0.008876;0.183332;0.000000;0.000088;0.000011;-9.463465;-1.671183;3.248638;0
6094;0; 85.390396; 1.243176; 9.080126; 99.860229;0.169473;0.000003;58.376034;0.000683;-25.935799;97.940445;100.000000;0.000383;0.000830;0.001080;0.009786;0.007281;0.000000;17.612978;0.164479;99.982834;0.004430;0.009309;0.005637;0.006132;0.136554;0.009191;0.170530;0.000000;0.000086;0.000011;-9.127715;-1.128429;2.690651;0
6158;0; 86.668381; 1.243175; 9.737692; 99.900528;0.162419;0.000003;54.185635;0.000649;-25.052322;98.027313;100.000000;0.000605;0.000653;0.001019;0.009950;0.005628;0.000000;15.057174;0.163916;99.981277;0.004404;0.008826;0.006659;0.006094;0.138347;0.009083;0.162367;0.000000;0.000077;0.000011;-9.631602;-1.276511;2.470750;0
6235;0; 87.236977; 1.243173; 10.095205; 99.916718;0.159312;0.000003;52.186787;0.000633;-24.631500;97.938469;100.000000;0.000734;0.000541;0.000960;0.008589;0.002724;0.000000;13.851385;0.141740;99.979980;0.004372;0.007220;0.006224;0.006596;0.136690;0.007751;0.153882;0.000000;0.000061;0.000011;-8.565339;-0.997589;2.695564;0
6314;0; 87.419525; 1.243173; 10.129140; 99.918549;0.158210;0.000003;51.530220;0.000628;-24.491341;97.619598;100.000000;0.001120;0.000698;0.000931;0.009420;0.007416;0.000000;13.458424;0.153649;99.982880;0.004531;0.007793;0.005780;0.006889;0.141989;0.007708;0.141611;0.000000;0.000064;0.000011;-10.162086;-1.716540;3.430960;0
6377;0; 86.242577; 1.243174; 10.164214; 99.919395;0.164844;0.000003;55.633579;0.000660;-25.339188;97.832550;100.000000;0.001918;0.000625;0.000879;0.009875;0.021361;0.000000;15.930055;0.153950;99.984047;0.004762;0.008336;0.006448;0.006494;0.123528;0.007188;0.147683;0.000000;0.000066;0.000012;-10.049194;-1.861016;2.951479;0
6439;0; 85.404427; 1.243174; 10.173791; 99.919388;0.169349;0.000003;58.334614;0.000683;-25.915024;97.748894;100.000000;0.001995;0.000684;0.000985;0.009328;0.017080;0.000000;17.583906;0.170394;99.983963;0.004489;0.009147;0.007383;0.006048;0.123584;0.007591;0.159474;0.000000;0.000066;0.000012;-9.585999;-1.488257;3.145094;0
6502;0; 85.465034; 1.243174; 10.169525; 99.919563;0.169016;0.000003;58.145790;0.000681;-25.859924;97.806419;100.000000;0.002862;0.000487;0.000927;0.008692;0.010315;0.000000;17.464575;0.168686;99.983154;0.004597;0.010234;0.009197;0.005817;0.110671;0.007190;0.141789;0.000000;0.000069;0.000012;-9.486800;-1.007922;3.012718;0
6564;0; 85.040268; 1.243175; 10.185399; 99.919632;0.171286;0.000003;59.451653;0.000692;-26.155281;97.572723;100.000000;0.003027;0.000480;0.000838;0.008223;0.006751;0.000000;18.276041;0.173546;99.983727;0.004158;0.009904;0.011770;0.005872;0.121228;0.007329;0.164533;0.000000;0.000074;0.000013;-9.009709;-1.156900;3.530854;0
6643;0; 83.785629; 1.243176; 10.178720; 99.919731;0.177889;0.000003;63.070534;0.000725;-26.931725;97.961380;100.000000;0.004075;0.000596;0.001005;0.007681;0.036356;0.000000;20.563890;0.179808;99.983261;0.003855;0.010891;0.014677;0.005794;0.114612;0.007574;0.149752;0.000000;0.000081;0.000014;-9.038869;-1.975582;2.638514;0
6704;0; 83.226242; 1.243176; 10.159543; 99.919815;0.180796;0.000003;64.572357;0.000739;-27.244835;97.716560;100.000000;0.005183;0.000715;0.001027;0.007964;0.016759;0.000000;21.537601;0.178261;99.983665;0.003724;0.012394;0.014612;0.005359;0.103325;0.007430;0.117719;0.000000;0.000083;0.000015;-9.245968;-1.228024;3.218073;0
6768;0; 83.640816; 1.243176; 10.167437; 99.919792;0.178575;0.000003;63.461338;0.000729;-27.007225;97.961403;100.000000;0.005696;0.000880;0.001128;0.009012;0.008553;0.000000;20.816031;0.188212;99.982849;0.003625;0.011725;0.014685;0.005190;0.111064;0.007353;0.132250;0.000000;0.000084;0.000015;-8.701987;-1.569824;2.638454;0
6830;0; 83.172974; 1.243177; 10.158838; 99.919876;0.180956;0.000003;64.707550;0.000741;-27.275940;97.890434;100.000000;0.005819;0.000914;0.001241;0.007441;0.008128;0.000000;21.627413;0.195391;99.982750;0.003766;0.012556;0.014346;0.004666;0.105958;0.007790;0.116370;0.000000;0.000093;0.000015;-9.009934;-1.543002;2.813174;0
6891;0; 83.577034; 1.243178; 10.145318; 99.919861;0.178759;0.000003;63.630039;0.000731;-27.034241;97.962082;100.000000;0.005603;0.001029;0.001621;0.006568;0.006424;0.000000;20.927698;0.212251;99.981995;0.003973;0.012856;0.016761;0.004089;0.118040;0.008480;0.106837;0.000000;0.000096;0.000016;-8.248502;-1.837913;2.636734;0
6971;0; 81.700340; 1.243178; 10.150150; 99.919754;0.188258;0.000003;68.322739;0.000778;-28.111923;98.122314;100.000000;0.006801;0.000925;0.001692;0.007223;0.004905;0.000000;24.065121;0.223339;99.979408;0.004042;0.013064;0.017289;0.003788;0.107138;0.008791;0.110048;0.000000;0.000099;0.000016;-8.359131;-2.043919;2.219136;0
7048;0; 81.600594; 1.243179; 10.136044; 99.919693;0.188567;0.000003;68.547302;0.000781;-28.160645;97.885323;100.000000;0.006994;0.001277;0.001830;0.007278;0.005699;0.000000;24.222519;0.252575;99.977760;0.003609;0.012410;0.019550;0.003381;0.113170;0.008542;0.098159;0.000000;0.000103;0.000016;-9.503390;-1.506378;2.825521;0
7111;0; 82.731453; 1.243177; 10.141667; 99.919563;0.182859;0.000003;65.823624;0.000753;-27.513931;97.953064;100.000000;0.007567;0.001178;0.002030;0.007219;0.005131;0.000000;22.363482;0.245936;99.973160;0.003706;0.011670;0.017095;0.002862;0.092998;0.008458;0.097927;0.000000;0.000095;0.000017;-8.715245;-1.204833;2.659275;0
7173;0; 84.243637; 1.243177; 10.151690; 99.919525;0.174975;0.000003;61.770134;0.000714;-26.609833;98.000862;100.000000;0.008122;0.001004;0.001726;0.007365;0.003938;0.000000;19.727114;0.251542;99.971718;0.003835;0.009413;0.014920;0.002739;0.086935;0.008755;0.107846;0.000000;0.000090;0.000017;-9.331375;-1.252561;2.538695;0
7235;0; 83.349380; 1.243178; 10.144742; 99.919540;0.179722;0.000003;64.219276;0.000737;-27.152870;97.739914;100.000000;0.008132;0.001181;0.002030;0.008790;0.004475;0.000000;21.305393;0.236263;99.969589;0.003804;0.010271;0.013855;0.002879;0.094083;0.008592;0.103131;0.000000;0.000096;0.000017;-8.758258;-1.372216;3.165473;0
7298;0; 84.052261; 1.243179; 10.144344; 99.919312;0.175913;0.000003;62.302597;0.000719;-26.724106;97.927849;100.000000;0.007844;0.001147;0.002170;0.008323;0.003417;0.000000;20.066238;0.260532;99.966705;0.003816;0.011983;0.013271;0.002630;0.083651;0.009292;0.103974;0.000000;0.000106;0.000018;-8.315877;-1.790640;2.721782;0
7360;0; 83.899216; 1.243180; 10.132209; 99.919075;0.176628;0.000003;62.714363;0.000723;-26.805099;98.087112;100.000000;0.008167;0.001052;0.002652;0.010479;0.002425;0.000000;20.328863;0.269448;99.957832;0.003934;0.016590;0.013141;0.002424;0.073091;0.010254;0.090684;0.000000;0.000110;0.000020;-7.705996;-1.946247;2.313797;0
7439;0; 85.571938; 1.243180; 10.118686; 99.918823;0.167832;0.000003;57.740509;0.000679;-25.717026;98.081032;100.000000;0.008394;0.000977;0.002515;0.010997;0.005141;0.000000;17.208393;0.243846;99.945869;0.004267;0.022275;0.012350;0.002392;0.055351;0.011001;0.072155;0.000000;0.000110;0.000020;-7.730154;-1.299499;2.329966;0
7501;0; 85.128891; 1.243180; 10.114134; 99.918732;0.170256;0.000003;59.113811;0.000690;-26.012352;98.037834;100.000000;0.008965;0.001070;0.003814;0.011745;0.004300;0.000000;18.059454;0.237503;99.946442;0.004790;0.032240;0.012797;0.002164;0.055263;0.011842;0.069203;0.000000;0.000116;0.000022;-7.968036;-1.870908;2.443489;0
7564;0; 86.629311; 1.243179; 10.104454; 99.918465;0.162029;0.000003;54.219746;0.000650;-24.980682;98.128166;100.000000;0.009737;0.001031;0.005122;0.011728;0.003328;0.000000;15.067770;0.228734;99.930550;0.005533;0.039969;0.011716;0.002055;0.049075;0.012117;0.062206;0.000000;0.000108;0.000021;-7.533188;-1.306310;2.203218;0
7642;0; 85.269058; 1.243180; 10.106803; 99.918358;0.169451;0.000003;58.651943;0.000686;-25.908409;98.061478;100.000000;0.009466;0.001442;0.007099;0.011245;0.002228;0.000000;17.770069;0.234076;99.928192;0.005947;0.033095;0.011895;0.002030;0.042787;0.011728;0.065235;0.000000;0.000113;0.000021;-6.719478;-1.754703;2.381675;0
7704;0; 86.193306; 1.243180; 10.111761; 99.918076;0.164358;0.000003;55.686771;0.000662;-25.290962;98.070877;100.000000;0.009616;0.001982;0.010864;0.010329;0.001847;0.000000;15.952121;0.241810;99.925095;0.006002;0.031363;0.011482;0.001835;0.041127;0.011519;0.079322;0.000000;0.000113;0.000023;-7.303095;-1.756494;2.356894;0
7767;0; 86.079475; 1.243180; 10.111428; 99.917824;0.164824;0.000003;56.026043;0.000665;-25.358253;98.227341;100.000000;0.009719;0.001889;0.015200;0.007661;0.003234;0.000000;16.154341;0.257300;99.902832;0.006654;0.023449;0.010960;0.001671;0.032378;0.011897;0.081741;0.000000;0.000116;0.000025;-7.341309;-1.998424;1.925979;0
7845;0; 86.860542; 1.243180; 10.091743; 99.916946;0.160549;0.000003;53.362370;0.000644;-24.801186;97.893333;100.000000;0.010684;0.002267;0.013775;0.007363;0.002403;0.000000;14.539930;0.239110;99.894554;0.006246;0.016432;0.010652;0.001700;0.032389;0.011208;0.084800;0.000000;0.000115;0.000026;-7.903664;-1.410119;2.806134;0
7908;0; 87.804718; 1.243180; 10.086657; 99.916794;0.155244;0.000003;49.906803;0.000617;-24.092125;97.975304;99.999985;0.010598;0.002595;0.014784;0.008835;0.003843;0.000000;12.466025;0.212219;99.874428;0.005714;0.022317;0.009513;0.001873;0.037386;0.010372;0.086421;0.000000;0.000119;0.000024;-7.193618;-1.070981;2.603542;0
7970;0; 88.767120; 1.243181; 10.074977; 99.916611;0.149566;0.000003;46.161823;0.000590;-23.312996;97.788300;99.999985;0.010067;0.003075;0.016635;0.008121;0.002229;0.000000;10.214576;0.206350;99.859138;0.005842;0.020770;0.008189;0.001848;0.038456;0.011248;0.077888;0.000000;0.000125;0.000025;-7.072882;-1.221469;3.054783;0
8032;0; 89.309914; 1.243181; 10.072775; 99.916550;0.146227;0.000003;43.934299;0.000574;-22.850471;98.006012;99.999985;0.009867;0.004490;0.017640;0.008244;0.001428;0.000000;8.865513;0.210089;99.847183;0.006385;0.024204;0.008278;0.001907;0.039723;0.011296;0.077603;0.000000;0.000126;0.000027;-7.254477;-1.704251;2.525531;0
8096;0; 89.560318; 1.243181; 10.053267; 99.915825;0.144606;0.000003;42.804848;0.000566;-22.606453;97.851440;99.999985;0.009231;0.004301;0.015230;0.007413;0.001927;0.000000;8.174296;0.199866;99.799866;0.006639;0.025919;0.008068;0.001775;0.031912;0.012244;0.071384;0.000000;0.000128;0.000028;-7.068094;-1.580608;2.906740;0
8158;0; 89.831993; 1.243182; 10.053907; 99.916016;0.142923;0.000003;41.671097;0.000558;-22.362350;98.018379;99.999985;0.009498;0.004382;0.014844;0.007810;0.002191;0.000000;7.476450;0.202694;99.806496;0.006596;0.020949;0.008524;0.002004;0.033106;0.012359;0.066997;0.000000;0.000133;0.000029;-7.838804;-1.289389;2.493802;0
8236;0; 90.066719; 1.243184; 10.040643; 99.915611;0.141278;0.000003;40.580719;0.000551;-22.126633;97.914940;99.999977;0.009023;0.004735;0.012306;0.007724;0.002034;0.000000;6.800184;0.212044;99.761581;0.007772;0.021365;0.009179;0.001838;0.031783;0.012584;0.062340;0.000000;0.000150;0.000029;-8.229845;-1.374432;2.753492;0
8313;0; 89.984589; 1.243184; 10.052567; 99.915611;0.141834;0.000003;40.975304;0.000554;-22.215958;98.143494;99.999977;0.008293;0.005139;0.011063;0.007359;0.004318;0.000000;7.043778;0.216118;99.780159;0.008635;0.018413;0.010583;0.001852;0.029159;0.013597;0.075196;0.000000;0.000145;0.000029;-6.647209;-1.954130;2.161346;0
8377;0; 90.002541; 1.243184; 10.050756; 99.915291;0.141752;0.000003;40.901852;0.000553;-22.206230;97.873291;99.999977;0.008241;0.004582;0.012638;0.006492;0.003021;0.000000;6.998061;0.210178;99.782494;0.009575;0.024168;0.010469;0.001888;0.026099;0.012693;0.081324;0.000000;0.000151;0.000029;-7.226212;-1.321009;2.854525;0
8439;0; 89.432152; 1.243184; 10.037959; 99.914742;0.145028;0.000003;43.185608;0.000569;-22.685234;98.151047;99.999962;0.008099;0.003388;0.010807;0.004656;0.000435;0.000000;8.402634;0.226180;99.715759;0.009692;0.024493;0.011341;0.001804;0.019217;0.013011;0.077901;0.000000;0.000149;0.000028;-6.552616;-2.132514;2.140547;0
8502;0; 88.711311; 1.243184; 10.001250; 99.912674;0.149271;0.000003;46.129669;0.000590;-23.312317;98.073982;99.999962;0.009124;0.002395;0.010173;0.004794;0.000183;0.000000;10.190784;0.252101;99.725693;0.010958;0.028655;0.011825;0.001621;0.019184;0.012659;0.093953;0.000000;0.000150;0.000032;-6.517047;-2.172746;2.348659;0
8563;0; 88.532379; 1.243184; 9.941287; 99.910957;0.150023;0.000003;46.632156;0.000594;-23.402962;97.753204;99.999931;0.009210;0.001336;0.007756;0.004946;0.000087;0.000000;10.495476;0.254163;99.624702;0.009693;0.032690;0.010325;0.001891;0.019043;0.012863;0.069274;0.000000;0.000156;0.000030;-7.924365;-1.362553;3.135300;0
8642;0; 89.356606; 1.243184; 9.929977; 99.910507;0.145230;0.000003;43.336781;0.000570;-22.711693;98.358826;99.999931;0.008863;0.001357;0.006171;0.006039;0.000973;0.000000;8.495871;0.230869;99.635384;0.008507;0.022599;0.008263;0.002087;0.022664;0.012445;0.070000;0.000000;0.000155;0.000027;-7.002758;-2.180961;1.533969;0
8704;0; 89.288078; 1.243185; 9.923347; 99.910187;0.145566;0.000003;43.528210;0.000571;-22.753799;98.009903;99.999916;0.009000;0.001406;0.005875;0.005797;0.000582;0.000000;8.614304;0.220806;99.589729;0.008321;0.025262;0.007759;0.002245;0.023235;0.013634;0.070919;0.000000;0.000167;0.000026;-7.018091;-2.006056;2.515570;0
8767;0; 89.508865; 1.243185; 9.847817; 99.907158;0.143958;0.000003;42.410450;0.000564;-22.513283;98.066933;99.999893;0.008170;0.001422;0.005737;0.006558;0.000317;0.000000;7.930153;0.213411;99.484421;0.008255;0.024642;0.008881;0.002398;0.024498;0.013988;0.061746;0.000000;0.000173;0.000025;-5.956190;-2.114389;2.367306;0
8831;0; 90.043739; 1.243185; 9.824039; 99.906189;0.140435;0.000003;40.010513;0.000547;-22.001518;98.113121;99.999855;0.008900;0.001770;0.005657;0.008680;0.000228;0.000000;6.445381;0.214966;99.414032;0.007623;0.028831;0.009019;0.002574;0.024701;0.013525;0.058723;0.000000;0.000179;0.000021;-7.659928;-1.075750;2.244015;0
8893;0; 90.535881; 1.243185; 9.800145; 99.905022;0.136909;0.000003;37.630726;0.000531;-21.489845;98.161057;99.999771;0.008463;0.002160;0.004306;0.009440;0.000253;0.000000;4.945049;0.228987;99.285759;0.007959;0.039867;0.010124;0.002665;0.024995;0.014348;0.060461;0.000000;0.000189;0.000021;-7.936891;-1.862061;2.112911;0
8971;0; 90.752037; 1.243183; 9.692013; 99.899773;0.135537;0.000003;36.761227;0.000525;-21.298401;98.183861;99.999741;0.008812;0.003005;0.004155;0.010097;0.000484;0.000000;4.386529;0.251360;99.329933;0.008580;0.032859;0.010372;0.002417;0.029628;0.015261;0.063027;0.000000;0.000181;0.000022;-7.286640;-2.034878;2.049368;0
9048;0; 91.098282; 1.243182; 9.610941; 99.895897;0.133213;0.000003;35.154465;0.000514;-20.931625;98.282578;99.999702;0.008240;0.004259;0.003459;0.013051;0.000182;0.000000;3.338137;0.247635;99.295631;0.008421;0.028777;0.009609;0.002606;0.029389;0.014391;0.056690;0.000000;0.000183;0.000018;-7.753029;-1.778170;1.764888;0
9112;0; 91.102783; 1.243180; 9.537287; 99.891747;0.132731;0.000003;34.879936;0.000513;-20.871643;97.950500;99.999557;0.008355;0.007512;0.004309;0.011549;0.000105;0.000000;3.157677;0.265680;99.156876;0.008760;0.032502;0.009878;0.002418;0.027803;0.014135;0.060758;0.000000;0.000197;0.000018;-5.816022;-1.989712;2.665676;0
9173;0; 91.131035; 1.243181; 9.397711; 99.883881;0.132411;0.000003;34.721695;0.000512;-20.829254;97.887459;99.999550;0.008768;0.008418;0.004885;0.009041;0.000080;0.000000;3.050977;0.284342;99.137527;0.008856;0.022979;0.009019;0.002401;0.026428;0.015170;0.057647;0.000000;0.000206;0.000017;-7.438035;-1.240117;2.820347;0
